"","level","Upper","Middle","Lower","p","test"
"n","","2741","2717","2712","",""
"age_cat (%)","0-55","1133 (41.3)","1134 (41.7)","1077 (39.7)","0.606",""
"","56-68","735 (26.8)","720 (26.5)","754 (27.8)","",""
"","69+","873 (31.8)","863 (31.8)","881 (32.5)","",""
"sex (%)","Male","1449 (52.9)","1409 (51.9)","1406 (51.8)","0.688",""
"","Female","1292 (47.1)","1308 (48.1)","1306 (48.2)","",""
"ajcc_stage (%)","Stage I","230 (8.4)","200 (7.4)","292 (10.8)","<0.001",""
"","Stage II","437 (15.9)","437 (16.1)","716 (26.4)","",""
"","Stage IV","11 (0.4)","16 (0.6)","23 (0.8)","",""
"","Unknown","2063 (75.3)","2064 (76.0)","1681 (62.0)","",""
"year_dx (mean (SD))","","2012.57 (6.61)","2011.47 (6.43)","2012.42 (5.55)","<0.001",""
"enucleation (%)","No_Enucleation","2358 (86.0)","2201 (81.0)","2127 (78.4)","<0.001",""
"","Enucleation","383 (14.0)","516 (19.0)","585 (21.6)","",""
"yost_cat (%)","Upper","2741 (100.0)","0 (0.0)","0 (0.0)","<0.001",""
"","Middle","0 (0.0)","2717 (100.0)","0 (0.0)","",""
"","Lower","0 (0.0)","0 (0.0)","2712 (100.0)","",""
"race_origin (%)","Hispanic (All Races)","156 (5.7)","191 (7.0)","128 (4.7)","<0.001",""
"","Non-Hispanic American Indian/Alaska Native","7 (0.3)","10 (0.4)","14 (0.5)","",""
"","Non-Hispanic Asian or Pacific Islander","57 (2.1)","20 (0.7)","15 (0.6)","",""
"","Non-Hispanic Black","15 (0.5)","19 (0.7)","23 (0.8)","",""
"","Non-Hispanic Unknown Race","20 (0.7)","29 (1.1)","19 (0.7)","",""
"","Non-Hispanic White","2486 (90.7)","2448 (90.1)","2513 (92.7)","",""
