"term","OR","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",1.03831224317123e-07,9.57233424060401,-1.67989318957705,0.0929780991127113,7.31333312276649e-16,14.558240296893
"race_originNon-Hispanic American Indian/Alaska Native",0.668523285342162,0.473928496666413,-0.849672584903839,0.395507144471065,0.240849531507226,1.59396238852162
"race_originNon-Hispanic Asian or Pacific Islander",0.723181427527526,0.293764808767884,-1.10324702457148,0.26991990516064,0.39567537047982,1.25946271895522
"race_originNon-Hispanic Black",1.16973606422703,0.31519414388805,0.497401808601576,0.618905730439593,0.617177716089495,2.13793739571684
"race_originNon-Hispanic Unknown Race",1.47328482315035,0.289301786783901,1.3394126794845,0.180436363912605,0.822594366009889,2.56962641377657
"race_originNon-Hispanic White",0.641788319537502,0.113525938705486,-3.90656756566434,9.3616474737474e-05,0.515303601136464,0.804446250412255
"yost_catMiddle",1.43501361271444,0.0747717368470538,4.83035904485575,1.36287067014943e-06,1.23979597544985,1.66216699447218
"yost_catLower",1.69949923995711,0.0738945142363451,7.17690140356185,7.13090738774646e-13,1.47098507918161,1.96533705244147
"age_cat56-68",0.902272268041285,0.0739736905814026,-1.39020987582003,0.164465155423479,0.780061718267573,1.04254185853543
"age_cat69+",1.10199656698783,0.0682804577189147,1.42242156415586,0.154903906682308,0.963813920885859,1.25966976301406
"sexFemale",0.751549081124963,0.0588864003508585,-4.85033487090049,1.23253208168859e-06,0.669462837116742,0.843316176163703
"ajcc_stageStage II",6.49305965485081,0.188243089627811,9.93786207369718,2.84875337913834e-23,4.55896084680104,9.55803972528484
"ajcc_stageStage IV",13.9508018045875,0.340682078299001,7.73605995597428,1.02545117851585e-14,7.12694269016697,27.2501523854707
"ajcc_stageUnknown",4.8109559879602,0.182360814159019,8.61421803642168,7.04205646892095e-18,3.42113971977869,7.00896070945553
"year_dx",1.0065949563448,0.00475018360538458,1.38380014506861,0.166419658626086,0.997268110037813,1.01601509476512
